,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
NLOK,12.47B,689.00M,2.45B,0.50,2.37%,3600,-,19.54,13.80,3.91,-,1.08,1.53,0.33,607.20%,5.00%,41.80%,-,8.20%,310.00%,0.30%,-86.17%,92.10%
NCLH,4.44B,-2024.30M,4.66B,-,-,36000,0.89,-,-,-,2.39,-9.14,-4.46,-2.24,1.00%,-,21.90%,-37.70%,8.90%,-369.70%,0.90%,0.00%,47.30%
NRG,8.31B,4.27B,9.45B,1.20,3.56%,4577,4.72,1.99,7.76,-,3.32,16.95,4.34,1.21,944.20%,-12.80%,132.40%,496.90%,59.10%,80.70%,0.80%,0.00%,99.10%
NUE,14.87B,508.20M,20.55B,1.61,3.26%,26800,1.47,29.52,17.54,-,0.53,1.67,2.81,0.51,-44.40%,-5.42%,14.40%,4.90%,10.10%,-87.70%,0.50%,-1.85%,78.20%
NVDA,344.78B,3.39B,13.07B,0.64,0.12%,13775,24.46,101.29,49.83,5.81,0.00,5.45,11.09,2.56,-25.10%,17.44%,32.20%,26.90%,18.80%,10.90%,0.30%,-22.26%,70.90%
NVR,16.48B,819.70M,7.14B,-,-,5700,6.16,21.01,15.77,4.38,0.46,208.09,277.21,59.79,13.60%,4.80%,28.30%,33.70%,30.80%,-20.00%,0.10%,-33.86%,84.60%
ORLY,34.77B,1.55B,10.72B,-,-,53159,58.82,22.88,20.99,1.77,7.01,20.41,22.25,6.24,11.20%,12.90%,19.50%,490.90%,35.50%,57.50%,0.30%,-30.90%,85.60%
OXY,9.87B,-11405.00M,21.68B,0.04,0.40%,14400,0.68,-,-,-,2.83,-12.59,-1.49,-0.69,-122.40%,-,-45.40%,-59.80%,-1.10%,-587.60%,0.10%,-7.90%,70.40%
ODFL,23.94B,589.10M,3.94B,0.60,0.30%,20105,7.91,40.69,31.49,3.75,0.05,4.93,6.37,1.53,3.70%,10.86%,19.80%,19.70%,19.50%,-13.20%,0.10%,0.00%,76.10%
OMC,11.34B,939.10M,13.97B,2.60,4.95%,70000,4.67,12.23,9.76,3.82,2.37,4.29,5.38,1.06,1.80%,3.20%,7.00%,36.90%,19.90%,-106.70%,0.60%,0.00%,99.10%
OKE,13.25B,620.80M,8.72B,3.74,12.94%,2882,1.94,19.41,10.84,-,2.29,1.49,2.67,0.59,10.70%,-1.36%,15.10%,10.20%,8.10%,-57.50%,0.67%,0.00%,69.10%
ORCL,181.99B,10.25B,39.22B,0.96,1.59%,135000,19.32,18.91,13.21,2.45,7.46,3.19,4.56,1.00,7.40%,7.72%,6.90%,79.80%,14.30%,15.60%,38.00%,-1.11%,51.10%
OTIS,28.24B,924.00M,12.66B,0.80,1.23%,69000,-,30.50,25.97,6.49,-,2.13,2.50,0.56,64.90%,4.70%,-,-,72.20%,-18.10%,-,-,86.30%
PCAR,30.86B,1.65B,20.71B,1.28,1.42%,27000,3.19,18.97,18.10,-,0.00,4.74,4.97,0.96,10.10%,-2.45%,12.50%,16.80%,11.90%,-76.10%,1.40%,-2.85%,64.90%
PKG,11.26B,510.40M,6.72B,3.16,2.64%,15500,3.59,22.08,20.25,-,0.80,5.42,5.91,1.41,-5.60%,-10.43%,13.00%,16.50%,15.00%,-70.90%,1.30%,0.00%,93.70%
PH,28.68B,1.21B,13.70B,3.52,1.58%,50520,4.68,24.01,17.00,3.12,1.38,9.28,13.11,2.32,-19.80%,7.70%,5.90%,19.40%,8.30%,-28.50%,0.40%,-10.36%,81.10%
PAYX,29.94B,1.05B,3.98B,2.48,2.96%,15600,10.82,28.90,27.33,8.53,0.29,2.90,3.06,0.66,6.20%,3.39%,10.40%,38.40%,31.30%,-19.90%,10.70%,-1.96%,72.40%
PAYC,22.00B,176.10M,792.40M,-,-,3765,37.50,126.59,91.45,8.80,0.05,3.02,4.18,0.55,32.30%,14.39%,95.20%,32.20%,32.30%,-70.20%,7.00%,-24.75%,75.30%
PYPL,238.48B,2.58B,19.22B,-,-,23200,13.59,93.83,44.89,4.06,0.00,2.18,4.55,0.94,19.90%,23.14%,43.20%,15.40%,10.00%,86.40%,0.10%,-18.10%,86.30%
PNR,8.26B,340.70M,2.89B,0.76,1.52%,9500,4.24,24.72,19.82,6.34,0.52,2.02,2.52,0.51,8.10%,3.90%,2.90%,17.50%,13.00%,-34.30%,0.20%,-3.08%,90.70%
PBCT,4.51B,478.60M,1.92B,0.72,6.81%,6110,0.59,9.21,10.78,0.67,0.00,1.15,0.98,0.29,0.80%,13.73%,8.70%,6.50%,11.70%,-37.40%,0.30%,-1.39%,76.60%
PEP,195.45B,7.06B,68.56B,4.09,2.89%,116000,14.55,27.99,23.50,4.75,3.31,5.06,6.03,1.45,-40.70%,5.90%,4.00%,51.90%,17.80%,10.30%,0.10%,-2.44%,73.10%
PKI,13.79B,294.10M,2.98B,0.28,0.23%,13000,4.65,46.87,20.19,3.18,0.66,2.65,6.14,1.50,-2.70%,14.75%,7.70%,10.50%,6.50%,97.80%,0.20%,-17.97%,93.10%
PRGO,6.37B,240.20M,5.07B,0.90,1.90%,11200,1.09,27.07,11.03,2.71,0.70,1.75,4.29,0.85,13.00%,10.00%,3.20%,4.10%,2.00%,568.50%,0.20%,-0.65%,85.60%
PFE,203.10B,13.85B,49.20B,1.52,4.01%,88300,3.28,15.45,11.71,2.88,0.99,2.46,3.24,0.72,62.30%,5.37%,14.70%,22.00%,14.70%,-31.50%,0.04%,-7.50%,71.90%
PM,123.24B,7.27B,29.16B,4.80,6.06%,73500,-,16.99,13.97,2.95,-,4.67,5.67,1.36,-9.60%,5.77%,-0.70%,-61.20%,42.30%,-16.20%,0.10%,-5.67%,75.50%
PSX,22.93B,-1153.00M,87.45B,3.60,7.12%,14500,1.07,-,12.07,-,0.70,-2.66,4.19,-0.60,-42.10%,-,-0.60%,-5.20%,4.40%,-110.40%,0.20%,0.69%,69.90%
PNW,9.10B,475.80M,3.45B,3.13,3.86%,97,1.66,19.22,16.17,5.69,1.13,4.22,5.01,2.72,-18.00%,3.38%,0.50%,10.90%,5.00%,34.00%,0.10%,0.00%,87.50%
PXD,15.15B,422.00M,8.20B,2.20,2.44%,3149,1.27,35.49,18.59,3.18,0.19,2.54,4.85,0.39,-20.80%,11.18%,-8.80%,3.50%,8.50%,-164.50%,0.20%,-6.44%,94.00%
PNC,46.51B,2.63B,12.07B,4.60,4.13%,50017,0.90,18.34,14.70,-,0.73,6.08,7.59,2.36,6.30%,-6.89%,9.20%,9.50%,8.90%,-177.00%,0.23%,0.10%,82.00%
POOL,14.44B,286.00M,3.44B,2.32,0.65%,4500,29.51,51.28,42.98,3.02,0.90,7.01,8.36,2.18,13.80%,17.00%,21.30%,69.30%,30.90%,20.30%,0.80%,-37.83%,94.70%
PPG,32.27B,1.00B,13.89B,2.16,1.57%,47600,6.72,32.56,21.18,5.66,1.30,4.21,6.48,1.92,-2.20%,5.75%,6.80%,20.00%,12.60%,-63.20%,0.42%,-1.53%,78.70%
PPL,21.95B,1.74B,7.68B,1.66,5.81%,12280,1.68,12.43,11.60,-,1.84,2.30,2.46,0.61,-8.00%,-,1.90%,13.60%,6.70%,-25.70%,0.07%,0.00%,70.50%
PFG,11.41B,1.27B,16.19B,2.24,5.44%,17601,0.74,9.06,6.76,1.33,0.28,4.55,6.10,1.39,-7.30%,6.83%,5.90%,8.80%,7.80%,5.20%,0.30%,3.51%,72.40%
